Clone,Bottleneck,Replicate,Phenotype
6,10000000,4,CRISPR
7,10000000,4,Sensitive
8,10000000,4,CRISPR
9,10000000,4,Sensitive
10,10000000,4,CRISPR
11,10000000,4,SM
12,10000000,4,SM
13,10000000,4,CRISPR
14,10000000,4,CRISPR
15,10000000,4,Sensitive
16,10000000,4,CRISPR
17,10000000,4,CRISPR
18,10000000,4,CRISPR
19,10000000,4,CRISPR
20,10000000,4,Sensitive
21,10000000,4,CRISPR
22,10000000,4,CRISPR
23,10000000,4,SM
24,10000000,4,CRISPR
1,10000000,5,CRISPR
2,10000000,5,SM
3,10000000,5,SM
4,10000000,5,CRISPR
5,10000000,5,SM
6,10000000,5,Sensitive
7,10000000,5,CRISPR
8,10000000,5,SM
9,10000000,5,SM
10,10000000,5,SM
11,10000000,5,SM
12,10000000,5,CRISPR
13,10000000,5,CRISPR
14,10000000,5,CRISPR
15,10000000,5,CRISPR
16,10000000,5,CRISPR
17,10000000,5,CRISPR
18,10000000,5,CRISPR
19,10000000,5,CRISPR
20,10000000,5,CRISPR
21,10000000,5,Sensitive
22,10000000,5,CRISPR
23,10000000,5,Sensitive
24,10000000,5,CRISPR
1,10000000,6,Sensitive
2,10000000,6,CRISPR
3,10000000,6,Sensitive
4,10000000,6,Sensitive
5,10000000,6,CRISPR
6,10000000,6,CRISPR
7,10000000,6,CRISPR
8,10000000,6,CRISPR
9,10000000,6,Sensitive
10,10000000,6,CRISPR
11,10000000,6,CRISPR
12,10000000,6,CRISPR
13,10000000,6,CRISPR
14,10000000,6,Sensitive
15,10000000,6,CRISPR
16,10000000,6,CRISPR
17,10000000,6,Sensitive
18,10000000,6,CRISPR
19,10000000,6,CRISPR
20,10000000,6,CRISPR
21,10000000,6,CRISPR
22,10000000,6,Sensitive
23,10000000,6,CRISPR
24,10000000,6,Sensitive
